vl,pl,vr,pr
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
0.0,0,0.0,0
